"name", "segment", "country", "website", "description"
"1QBit", "Software", "Canada", "https://1qbit.com", "1QBit is a software and consulting company that solutions to large and difficult problems, using complex algorithms and software development tools utilizing both classical methods and quantum computers. Much of their work involves utilization of quantum annealing hardware. 1QBit has offices in Vancouver and Waterloo, Canada."
"A*Quantum", "Software", "Japan", "https://a-star-quantum.jp/index_en.html", "Founded in 2018 and based in Tokyo, Japan, A*Quantum is a company specializing in quantum computer software. They will develop software for both annealing and gate-level machines and collaborate with universities to nurture developers and provide coordination between companies."
"AegiQ", "Hardware", "UK", "https://www.aegiq.com/", "AegiQ is a spin-off from The University of Sheffield founded in 2019. AegiQ's focus on high-performance quantum photonic applications with its core technology being in semiconductor-based deterministic and indistinguishable single-photon sources."
"Agnostiq", "Software", "Canada", "https://www.agnostiqlabs.com/", "Agnostiq is an enterprise security company building privacy solutions for users of quantum computers. The company’s mission is to develop robust security software tailored to NISQ-era devices. Their solutions allow users to keep their data and algorithms secure while being processed on the quantum cloud. This allows even the most privacy-sensitive users to unlock the benefits of quantum computers without compromising any of their proprietary data or algorithms. Agnostiq is based in Toronto, Canada, was founded in August 2018 and is a graduate of the Creative Destruction Lab’s 2018/19 cohort."
"Alice&Bob", "Hardware", "France", "https://alice-bob.com/", "Alice&Bob is developing a universal fault tolerant quantum computer based upon research developed at French universities and research institutes.  The technology uses superconducting detection of microwave photons and is expected to exponentially reduce bit-flip errors rates.  The company was founded in February 2020 and is located in Paris, France. "
"Aliro Technologies", "Software", "US", "https://www.aliroquantum.com/", "Aliro is a software company focused on providing portable, useful, hardware-agnostic, and noise-aware tools for quantum computation on NISQ devices. They are located in Boston, Massachusetts and were formed in the summer of 2019 as a participant in the Venture Incubation Program at the Harvard Innovation Labs. Aliro has received initial seed funding from Flybridge Capital Partners."
"Alpine Quantum Technologies, GmbH", "Hardware", "Austria", "https://www.aqt.eu/", "Located in Innsbruck, Austria, Alpine Quantum Technologies (AQT) is a recent spin-off formed by three physicists from the University of Innsbruck and the Institute of Quantum Optics and Quantum Information of the Austrian Academy of Sciences. The company’s goal is to construct a commercial quantum computer using ion trap technology."
"Ankh.1", "Other", "US", "https://ankh.one/", "Founded in 2018 and based in West Covina, California, Ankh is launching Anubis Cloud a Quantum virtual machine service for data science professionals with Jupyter notebook integration and Tensorflow + Keras."
"Anyon Systems Inc.", "Software", "Canada", "http://anyonsys.com/index.html", "Anyon Systems Inc. is a Canadian technology startup with the mission of introducing Quantum Electronic Design Automation toolkits for design and optimization of nano/quantum electronics. Anyon provides a Quantum Device Simulator (QDS) to design and optimize novel Quantum Electronic Devices."
"ApexQubit", "Software", "Netherlands", "https://www.apexqubit.com/", "ApexQubit is a quantum software company developing a 2nd generation platform for drugs engineering powered by quantum computing that will allow pharmaceutical companies to automate the drug discovery process. The company was founded in November, 2018 and is now located in Amsterdam, The Netherlands. In 2018 and 2019 they received a pre-seed financing for undisclosed amounts and also received another pre-seed round of investment from HealthInc in January 2020."
"AppliedQubit", "Software", "UK", "http://appliedqubit.com/", "Founded in January, 2019 and based in Leatherhead, Surrey, UK, AppliedQubit is an independent software vendor specializing in the application of quantum information science for business and industry. They build, test, deploy, support and market software IP in the area of quantum computers with a goal to harness the potential of quantum computation and deliver near-term results for enterprise and industrial customers. Their two key areas of product development focus include classical-quantum hybrid algorithms and quantum machine learning."
"aQuantum", "Software", "Spain", "https://www.aquantum.es/", "Formed in February 2018 and based in Madrid, Spain, aQuantum is a a research, development, consulting and services group in the fields of quantum software engineering and programming. Specializing in Quantum Software Engineering and Programming, aQuantum works in the fields of Hybrid Classical-Quantum Computing, Software Quantum Quality, Governance and Management, Quantum Software Workforce, Development Tools and Machine Learning."
"Artiste-qb.net", "Software", "Canada", "http://www.artiste-qb.net/", "Toronto based Artiste-qb.net is developing quantum information software that provides customers with solutions to R&D challenges and quantifiable business problems. The principals of this company have spent many years developing quantum algorithm and they already have a large library of routines available. They have recently developed a quantum computing and AI related platform image, called Bayesforge, which is provided as open source software for data scientists who need advanced analytical tools as well as for quantum computing and computational mathematics practitioners who seek to work with one of the major QC frameworks. Artise-qb.net is focusing on the global market with a particular emphasis on China and have an affiliate company in Shenzhen, China."
"Atom Computing", "Hardware", "US", "http://www.atom-computing.com/", "Founded in 2018 and located in the Berkeley, California, Atom Computing is focused on building scalable, universal quantum computers. Utilizing techniques pioneered by quantum gas and precision measurement experiments, Atom Computing will create machines using optically trapped neutral atoms capable of reaching the large qubit numbers needed for error corrected quantum computing."
"Aurora Quantum Technologies", "Hardware", "Canada", "http://auroraq.com/", "AuroraQ (formerly QSpice Labs) strives to make quantum computers practical with hybrid quantum technology. They are an alumni of both the Creative Destruction Labs and Y Combinator programs. They were originally founded in Toronto, Canada in 2017 and have moved back to Waterloo, Ontario in Canada to continue work."
"Automatski", "Software", "India", "http://automatski.com/", "Automatski is an R&D holding company with locations in the Bengaluru, India and Los Angeles, California. They are performing research into several areas of quantum-inspired software to simulate various quantum computing configurations including a circuit-based quantum computer simulator, an adiabatic quantum computer simulator, and an annealing quantum computer simulator. They believe that their technology will allow them to simulate configurations with very large qubit counts. Automatski was originally registered in London in 2014, moved to India in 2016, and is now undergoing a restructuring and moving their headquarters to California."
"Avanetix", "Software", "Germany", "https://www.avanetix.io/", "Formed in January 2019 and located in Berlin, Germany, Avanetix provides a vertically integrated and industry-specific application software stack that uses classical optimization methods, machine learning and quantum computing to solve supply chain challenges.  Their software will utilize a hybrid approach of quantum and classical technology as powerful technologies in a unique, vertically integrated and industry-specific application software stack to simulate and optimize complex scenarios exponentially faster. They are supporting enterprises in the automotive, manufacturing and logistics industries to automate and optimize their supply chains in order to increase productivity and efficiency."
