"url", "name", "description"
"https://www.spacebandits.io/startups/eclipse-orbital", "Eclipse Orbital", "Affordable cube-sat launch service"
"https://www.spacebandits.io/startups/NewRocket", "NewRocket", "Eco-friendly rocket engines"
"https://www.spacebandits.io/startups/orbitsedge", "OrbitsEdge", "Computing and analytics in space"
"https://www.spacebandits.io/startups/helios", "Helios", "Producing resources from lunar soil"
"https://www.spacebandits.io/startups/stellar-amenities", "Stellar Amenities", "Designing functional and comfortable off-world spaces"
"https://www.spacebandits.io/startups/momentus", "Momentus", "In-space flights for satellites"
"https://www.spacebandits.io/startups/epic-aerospace", "Epic Aerospace", "Space transportation network"
"https://www.spacebandits.io/startups/may-marom", "May Marom", "Humidity extraction from extraterrestrial regolith"
"https://www.spacebandits.io/startups/leap-biosystems", "Leap Biosystems", "Space medicine technology"
"https://www.spacebandits.io/startups/pixxel", "Pixxel", "Nanosatellite constellation"
"https://www.spacebandits.io/startups/miles-space", "Miles Space", "Propulsion and space communications"
"https://www.spacebandits.io/startups/space-dynamix-marketing", "Space Dynamix Marketing", "Marketing for the space industry"
"https://www.spacebandits.io/startups/okapi-orbits", "OKAPI:Orbits", "Satellite collision avoidance software"
"https://www.spacebandits.io/startups/latitudo-40", "Latitudo 40", "From images to information"
"https://www.spacebandits.io/startups/black-arrow-space-technologies", "Black Arrow", "Horizon sea launch service"
"https://www.spacebandits.io/startups/leo-aerospace", "Leo Aerospace", "High altitude smallsat launcher"
"https://www.spacebandits.io/startups/astralytical", "Astralytical", "Space analysis and consulting"
"https://www.spacebandits.io/startups/flurosat", "FluroSat", "Crop monitoring and analytics"
"https://www.spacebandits.io/startups/phase-four", "Phase Four", "Compact electric propulsion for space"
"https://www.spacebandits.io/startups/stofiel-aerospace", "Stofiel Aerospace", "Smallsat balloon launch service"
"https://www.spacebandits.io/startups/hydrosat", "Hydrosat", "Plant health monitored by satellites"
"https://www.spacebandits.io/startups/redworks", "RedWorks", "In-situ additive construction"
"https://www.spacebandits.io/startups/space-impulse", "Space Impulse", "The Space Business Network"
"https://www.spacebandits.io/startups/spacept", "Spacept", "AI for Space Data Analytics"
